State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
CA,3,15,5323,2135
CA,3,16,5513,2027
CA,3,17,6086,2450
CA,3,18,5381,2293
CA,3,19,4236,1807
CA,3,20,3814,1677
CA,3,21,2449,1186
CA,3,22,2402,1040
CA,3,23,2088,802
CA,4,0,1929,774
CA,4,1,1625,557
CA,4,2,1826,671
CA,4,3,1480,576
CA,4,4,2468,770
CA,4,5,3557,1091
CA,4,6,4815,1467
CA,4,7,5820,1702
CA,4,8,6163,1972
CA,4,9,5079,1819
CA,4,10,4594,1818
CA,4,11,5260,2005
CA,4,12,3889,1761
CA,4,13,4902,1981
CA,4,14,5390,2203
CA,4,15,5762,2429
CA,4,16,6000,2377
CA,4,17,6411,2672
CA,4,18,5950,2588
CA,4,19,4719,2101
CA,4,20,3956,1832
CA,4,21,2695,1328
CA,4,22,1993,1033
CA,4,23,1578,889
CA,5,0,1463,790
CA,5,1,1094,625
CA,5,2,1450,788
CA,5,3,1115,653
CA,5,4,2174,970
CA,5,5,2240,960
CA,5,6,2490,1068
CA,5,7,2447,991
CA,5,8,2685,1154
CA,5,9,3099,1332
CA,5,10,3810,1780
CA,5,11,4318,2065
CA,5,12,3445,1929
CA,5,13,3508,1928
CA,5,14,3114,1654
CA,5,15,2956,1593
CA,5,16,2896,1502
CA,5,17,2359,1171
CA,5,18,2337,1191
CA,5,19,1934,961
CA,5,20,1653,818
CA,5,21,1904,905
CA,5,22,1351,728
CA,5,23,1166,633
CA,6,0,1346,728
CA,6,1,1330,731
CA,6,2,1434,857
CA,6,3,1197,686
CA,6,4,2074,951
CA,6,5,2144,954
CA,6,6,2416,1062
CA,6,7,2251,945
CA,6,8,2231,951
CA,6,9,2466,960
CA,6,10,3010,1297
CA,6,11,3579,1511
CA,6,12,2749,1406
CA,6,13,3049,1606
CA,6,14,2768,1320
CA,6,15,2562,1329
CA,6,16,2588,1332
CA,6,17,2026,1011
CA,6,18,1997,1030
CA,6,19,1812,881
CA,6,20,1470,759
CA,6,21,1826,913
CA,6,22,1353,612
CA,6,23,1868,734
CO,0,0,21,15
CO,0,1,95,28
CO,0,2,89,31
CO,0,3,54,17
CO,0,4,134,41
CO,0,5,355,124
CO,0,6,891,284
CO,0,7,1490,326
CO,0,8,1515,304
CO,0,9,733,168
CO,0,10,136,74
CO,0,11,167,106
CO,0,12,152,88
CO,0,13,203,118
CO,0,14,203,141
CO,0,15,270,172
CO,0,16,287,171
CO,0,17,285,181
CO,0,18,191,139
CO,0,19,59,44
CO,0,20,36,26
CO,0,21,22,15
CO,0,22,27,21
CO,0,23,2,2
CO,1,0,8,4
CO,1,1,79,35
CO,1,2,55,13
CO,1,3,50,12
CO,1,4,111,39
CO,1,5,330,118
CO,1,6,966,318
CO,1,7,1744,362
CO,1,8,1708,328
CO,1,9,805,152
CO,1,10,135,79
CO,1,11,161,97
CO,1,12,167,98
CO,1,13,191,130
CO,1,14,176,112
CO,1,15,259,156
CO,1,16,296,176
CO,1,17,313,191
CO,1,18,211,157
CO,1,19,62,53
CO,1,20,36,31
CO,1,21,30,23
CO,1,22,25,19
CO,1,23,6,3
CO,2,0,14,6
CO,2,1,60,25
