State,Weather_Condition,Severity,Count
NC,Mostly Cloudy,1,1137
NC,Mostly Cloudy,2,33196
NC,Mostly Cloudy,3,5179
NC,Mostly Cloudy,4,54
NC,Overcast,1,3
NC,Overcast,2,12336
NC,Overcast,3,1991
NC,Overcast,4,2
NC,Partly Cloudy,1,429
NC,Partly Cloudy,2,21182
NC,Partly Cloudy,3,3172
NC,Partly Cloudy,4,42
ND,Clear,2,2
ND,Clear,3,4
ND,Fair,2,1
ND,Fair,3,2
ND,Overcast,3,3
ND,Partly Cloudy,3,1
NE,Clear,1,7
NE,Clear,2,6435
NE,Clear,3,1127
NE,Clear,4,1
NE,Fair,1,29
NE,Fair,2,2054
NE,Fair,3,489
NE,Fair,4,7
NE,Mostly Cloudy,1,5
NE,Mostly Cloudy,2,2167
NE,Mostly Cloudy,3,380
NE,Mostly Cloudy,4,3
NE,Overcast,1,1
NE,Overcast,2,3159
NE,Overcast,3,557
NE,Overcast,4,1
NE,Partly Cloudy,1,9
NE,Partly Cloudy,2,1357
NE,Partly Cloudy,3,238
NE,Partly Cloudy,4,4
NH,Clear,1,1
NH,Clear,2,534
NH,Clear,3,194
NH,Clear,4,2
NH,Fair,1,35
NH,Fair,2,799
NH,Fair,3,309
NH,Fair,4,16
NH,Mostly Cloudy,1,16
NH,Mostly Cloudy,2,571
NH,Mostly Cloudy,3,257
NH,Mostly Cloudy,4,4
NH,Overcast,1,1
NH,Overcast,2,413
NH,Overcast,3,164
NH,Partly Cloudy,1,9
NH,Partly Cloudy,2,326
NH,Partly Cloudy,3,136
NJ,Clear,1,7
NJ,Clear,2,5741
NJ,Clear,3,2475
NJ,Clear,4,5
NJ,Fair,1,46
NJ,Fair,2,5860
NJ,Fair,3,2927
NJ,Fair,4,51
NJ,Mostly Cloudy,1,15
NJ,Mostly Cloudy,2,3830
NJ,Mostly Cloudy,3,2317
NJ,Mostly Cloudy,4,30
NJ,Overcast,1,1
NJ,Overcast,2,3617
NJ,Overcast,3,1779
NJ,Overcast,4,5
NJ,Partly Cloudy,1,12
NJ,Partly Cloudy,2,2263
NJ,Partly Cloudy,3,1333
NJ,Partly Cloudy,4,15
NM,Clear,2,286
NM,Clear,3,280
NM,Clear,4,2
NM,Fair,1,63
NM,Fair,2,1073
NM,Fair,3,632
NM,Fair,4,33
NM,Mostly Cloudy,1,13
NM,Mostly Cloudy,2,900
NM,Mostly Cloudy,3,520
NM,Mostly Cloudy,4,6
NM,Overcast,2,148
NM,Overcast,3,88
NM,Overcast,4,1
NM,Partly Cloudy,1,22
NM,Partly Cloudy,2,852
NM,Partly Cloudy,3,560
NM,Partly Cloudy,4,8
NV,Clear,2,936
NV,Clear,3,494
NV,Fair,1,89
NV,Fair,2,2587
NV,Fair,3,629
NV,Fair,4,8
NV,Mostly Cloudy,1,12
NV,Mostly Cloudy,2,1160
NV,Mostly Cloudy,3,684
NV,Mostly Cloudy,4,2
NV,Overcast,2,218
NV,Overcast,3,140
NV,Partly Cloudy,1,3
NV,Partly Cloudy,2,835
NV,Partly Cloudy,3,562
NV,Partly Cloudy,4,1
NY,Clear,1,3
NY,Clear,2,10098
NY,Clear,3,7433
NY,Clear,4,10
NY,Fair,1,179
NY,Fair,2,14994
NY,Fair,3,7544
NY,Fair,4,107
NY,Mostly Cloudy,1,116
NY,Mostly Cloudy,2,16159
NY,Mostly Cloudy,3,12444
NY,Mostly Cloudy,4,59
NY,Overcast,1,3
NY,Overcast,2,8913
NY,Overcast,3,6346
NY,Overcast,4,9
NY,Partly Cloudy,1,65
NY,Partly Cloudy,2,8870
NY,Partly Cloudy,3,7340
NY,Partly Cloudy,4,28
OH,Clear,1,5
OH,Clear,2,5297
OH,Clear,3,3139
OH,Clear,4,7
OH,Fair,1,480
OH,Fair,2,7956
OH,Fair,3,5443
OH,Fair,4,166
OH,Mostly Cloudy,1,206
OH,Mostly Cloudy,2,5314
OH,Mostly Cloudy,3,3474
OH,Mostly Cloudy,4,59
OH,Overcast,1,5
OH,Overcast,2,5233
OH,Overcast,3,3113
OH,Overcast,4,6
OH,Partly Cloudy,1,123
OH,Partly Cloudy,2,3248
OH,Partly Cloudy,3,2375
OH,Partly Cloudy,4,41
OK,Clear,1,5
OK,Clear,2,12757
OK,Clear,3,1087
OK,Fair,1,653
OK,Fair,2,16080
OK,Fair,3,1188
OK,Fair,4,19
OK,Mostly Cloudy,1,133
OK,Mostly Cloudy,2,7389
OK,Mostly Cloudy,3,786
OK,Mostly Cloudy,4,9
